Found 121 files. Trying to load all of them into memory.

file   1/121   rows loaded:      528,333   RAM used:   0.7 GB   (  23s)
file   2/121   rows loaded:    1,040,410   RAM used:   1.3 GB   (  44s)
file   3/121   rows loaded:    1,546,442   RAM used:   1.9 GB   (  64s)
file   4/121   rows loaded:    2,053,548   RAM used:   2.2 GB   (  83s)
file   5/121   rows loaded:    2,556,250   RAM used:   2.8 GB   ( 100s)
file   6/121   rows loaded:    3,063,605   RAM used:   2.8 GB   ( 120s)
file   7/121   rows loaded:    3,581,441   RAM used:   3.2 GB   ( 140s)
file   8/121   rows loaded:    4,124,146   RAM used:   3.8 GB   ( 161s)
file   9/121   rows loaded:    4,639,991   RAM used:   4.2 GB   ( 181s)
file  10/121   rows loaded:    5,160,304   RAM used:   4.4 GB   ( 201s)
file  11/121   rows loaded:    5,672,462   RAM used:   4.5 GB   ( 220s)
file  12/121   rows loaded:    6,188,884   RAM used:   4.6 GB   ( 241s)
file  13/121   rows loaded:    6,706,261   RAM used:   4.2 GB   ( 263s)
file  14/121   rows loaded:    7,219,116   RAM used:   4.7 GB   ( 283s)
file  15/121   rows loaded:    7,735,784   RAM used:   5.0 GB   ( 304s)
file  16/121   rows loaded:    8,254,500   RAM used:   4.8 GB   ( 324s)
file  17/121   rows loaded:    8,772,429   RAM used:   5.0 GB   ( 344s)
file  18/121   rows loaded:    9,283,749   RAM used:   4.9 GB   ( 363s)
file  19/121   rows loaded:    9,805,741   RAM used:   4.8 GB   ( 383s)
file  20/121   rows loaded:   10,322,932   RAM used:   4.4 GB   ( 403s)
file  21/121   rows loaded:   10,845,476   RAM used:   5.0 GB   ( 424s)
file  22/121   rows loaded:   11,355,857   RAM used:   5.7 GB   ( 445s)
file  23/121   rows loaded:   11,870,092   RAM used:   6.0 GB   ( 466s)
file  24/121   rows loaded:   12,400,114   RAM used:   5.2 GB   ( 488s)
file  25/121   rows loaded:   12,917,620   RAM used:   5.6 GB   ( 508s)
file  26/121   rows loaded:   13,422,933   RAM used:   5.8 GB   ( 528s)
file  27/121   rows loaded:   13,935,761   RAM used:   5.6 GB   ( 548s)
file  28/121   rows loaded:   14,447,674   RAM used:   5.7 GB   ( 568s)
file  29/121   rows loaded:   14,963,550   RAM used:   5.4 GB   ( 589s)
file  30/121   rows loaded:   15,479,356   RAM used:   5.8 GB   ( 609s)
file  31/121   rows loaded:   16,046,912   RAM used:   5.6 GB   ( 631s)
file  32/121   rows loaded:   16,715,634   RAM used:   2.7 GB   ( 658s)
file  33/121   rows loaded:   17,440,073   RAM used:   3.6 GB   ( 686s)
