Rbin,v_phi_median,n,v_phi_scatter
4.0,181.15410177947726,28078,57.78700860525781
4.5,193.38679127023005,37854,52.67905945109041
5.0,200.97728938823732,57106,49.23744374187814
5.5,208.28953197383265,68069,45.7501463648666
6.0,213.3943120625378,86633,41.78743692188131
6.5,217.78899794497983,119259,37.71355064752254
7.0,219.95553189330258,209973,34.593515026034595
7.5,220.94459571886023,374439,32.869554768850755
8.0,220.8442881880475,396822,30.678539777886904
8.5,219.3169876156888,198493,29.066968592764493
9.0,218.08395672145645,92858,29.981164429035566
9.5,218.56688632146646,48783,32.05682409031354
10.0,218.47264922450546,31083,32.95055989584433
10.5,215.3401556851537,22744,34.22805426870479
11.0,214.61282049042998,17539,36.025782976146466
11.5,214.18740821876582,13674,36.14754573099458
12.0,215.25066588253804,10528,36.87884551431387
12.5,215.82558833163603,8281,38.00283647811459
13.0,215.29593263145912,6034,37.689517294262494
13.5,215.04476259290172,4355,40.56606115475815
14.0,214.93085575849454,2827,39.07653138376294
14.5,213.86841653577588,1947,41.593993057375535
15.0,214.13892744303988,1257,48.22764459874519
15.5,213.42420688469883,749,42.245438846863806
