Rbin,sigma_vphi
4.0,57.7870086052578
4.5,52.67905945109041
5.0,49.237443741878145
5.5,45.75014636486661
6.0,41.78743692188132
6.5,37.71355064752255
7.0,34.593515026034574
7.5,32.86955476885074
8.0,30.678539777886915
8.5,29.06696859276448
9.0,29.98116442903556
9.5,32.05682409031354
10.0,32.95055989584433
10.5,34.22805426870479
11.0,36.025782976146466
11.5,36.14754573099458
12.0,36.87884551431386
12.5,38.00283647811459
13.0,37.68951729426251
13.5,40.56606115475815
14.0,39.076531383762955
14.5,41.593993057375535
15.0,48.22764459874518
15.5,42.245438846863806
